Timestamp,Origin,Grad,Parent,Neighbor_Addr,RSSI
2026-03-10 11:54:05,0003,1,0002,0008,-62
2026-03-10 11:54:05,0006,2,0003,0005,-40
2026-03-10 11:54:05,0006,2,0003,0003,-51
2026-03-10 11:54:05,0006,2,0003,0004,-59
2026-03-10 11:54:05,0006,2,0003,0007,-39
2026-03-10 11:54:05,0006,2,0003,0008,-44
2026-03-10 11:54:05,0006,2,0003,0009,-60
2026-03-10 11:54:05,0005,1,0002,0002,-59
2026-03-10 11:54:05,0005,1,0002,0003,-52
2026-03-10 11:54:05,0005,1,0002,0004,-53
2026-03-10 11:54:05,0005,1,0002,0006,-41
2026-03-10 11:54:05,0005,1,0002,0008,-53
2026-03-10 11:54:05,0005,1,0002,0009,-56
2026-03-10 11:54:05,0005,1,0002,0007,-56
2026-03-10 11:54:35,0009,2,0005,0005,-55
2026-03-10 11:54:35,0009,2,0005,0003,-58
2026-03-10 11:54:35,0009,2,0005,0007,-43
2026-03-10 11:54:35,0009,2,0005,0008,-43
2026-03-10 11:54:35,0009,2,0005,0006,-60
2026-03-10 11:54:35,0008,2,0005,0005,-53
2026-03-10 11:54:35,0008,2,0005,0003,-53
2026-03-10 11:54:35,0008,2,0005,0007,-39
2026-03-10 11:54:35,0008,2,0005,0009,-42
2026-03-10 11:54:35,0008,2,0005,0006,-45
2026-03-10 11:54:35,0007,2,0003,0003,-55
2026-03-10 11:54:35,0007,2,0003,0005,-56
2026-03-10 11:54:35,0007,2,0003,0004,-60
2026-03-10 11:54:35,0007,2,0003,0008,-38
2026-03-10 11:54:35,0007,2,0003,0009,-43
2026-03-10 11:54:35,0007,2,0003,0006,-47
2026-03-10 11:54:35,0004,1,0002,0002,-38
2026-03-10 11:54:35,0004,1,0002,0003,-45
2026-03-10 11:54:35,0004,1,0002,0005,-47
2026-03-10 11:54:35,0004,1,0002,0006,-59
2026-03-10 11:54:35,0004,1,0002,0007,-60
2026-03-10 11:54:35,0004,1,0002,0008,-60
2026-03-10 11:54:35,0005,1,0002,0002,-59
2026-03-10 11:54:35,0005,1,0002,0004,-47
2026-03-10 11:54:35,0005,1,0002,0003,-52
2026-03-10 11:54:35,0005,1,0002,0006,-41
2026-03-10 11:54:35,0005,1,0002,0007,-56
2026-03-10 11:54:35,0005,1,0002,0009,-60
2026-03-10 11:54:35,0005,1,0002,0008,-62
