Timestamp,Type,SourceAddr,SenderAddr,Seq_or_TxCount,HopCount,Latency_ms,PathMinRSSI,BeaconTx,HeartbeatTx,RouteChanges,FwdCount,Rx_Unique_Count,Remote_Rx_Count,PDR_Percent
03:48:14.957,DATA,0x0003,0x0003,75,1,15,-48,,,,,,,
03:48:15.363,DATA,0x0004,0x0003,61,2,73,-52,,,,,,,
03:48:17.142,DATA,0x0003,0x0003,76,1,20,-52,,,,,,,
03:48:17.547,DATA,0x0004,0x0003,62,2,91,-51,,,,,,,
03:48:19.155,DATA,0x0003,0x0003,77,1,18,-48,,,,,,,
03:48:19.580,DATA,0x0004,0x0003,63,2,71,-53,,,,,,,
03:48:21.179,DATA,0x0003,0x0003,78,1,14,-48,,,,,,,
03:48:21.614,DATA,0x0004,0x0003,64,2,85,-51,,,,,,,
03:48:23.324,DATA,0x0003,0x0003,79,1,16,-48,,,,,,,
03:48:23.667,DATA,0x0004,0x0003,65,2,81,-49,,,,,,,
03:48:25.439,DATA,0x0003,0x0003,80,1,17,-53,,,,,,,
03:48:25.772,DATA,0x0004,0x0003,66,2,81,-50,,,,,,,
03:48:27.624,DATA,0x0003,0x0003,81,1,42,-48,,,,,,,
03:48:27.805,DATA,0x0004,0x0003,67,2,105,-51,,,,,,,
03:48:29.301,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:48:29.606,DATA,0x0003,0x0003,82,1,47,-47,,,,,,,
03:48:29.899,DATA,0x0004,0x0003,68,2,81,-53,,,,,,,
03:48:31.741,DATA,0x0003,0x0003,83,1,47,-52,,,,,,,
03:48:32.048,DATA,0x0004,0x0003,69,2,75,-52,,,,,,,
03:48:33.737,DATA,0x0003,0x0003,84,1,16,-48,,,,,,,
03:48:34.141,DATA,0x0004,0x0003,70,2,85,-53,,,,,,,
03:48:35.821,DATA,0x0003,0x0003,85,1,19,-52,,,,,,,
03:48:36.176,DATA,0x0004,0x0003,71,2,89,-52,,,,,,,
03:48:38.007,DATA,0x0003,0x0003,86,1,64,-48,,,,,,,
03:48:38.229,DATA,0x0004,0x0003,72,2,72,-53,,,,,,,
03:48:40.040,DATA,0x0003,0x0003,87,1,20,-48,,,,,,,
03:48:40.305,DATA,0x0004,0x0003,73,2,86,-52,,,,,,,
03:48:42.217,DATA,0x0003,0x0003,88,1,18,-47,,,,,,,
03:48:42.509,DATA,0x0004,0x0003,74,2,74,-53,,,,,,,
03:48:44.219,DATA,0x0003,0x0003,89,1,36,-47,,,,,,,
03:48:44.653,DATA,0x0004,0x0003,75,2,67,-51,,,,,,,
03:48:46.222,DATA,0x0003,0x0003,90,1,17,-48,,,,,,,
03:48:46.819,DATA,0x0004,0x0003,76,2,75,-51,,,,,,,
03:48:48.320,DATA,0x0003,0x0003,91,1,20,-52,,,,,,,
03:48:48.846,DATA,0x0004,0x0003,77,2,82,-53,,,,,,,
03:48:49.420,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:48:50.444,DATA,0x0003,0x0003,92,1,25,-48,,,,,,,
03:48:51.082,DATA,0x0004,0x0003,78,2,208,-49,,,,,,,
03:48:52.464,DATA,0x0003,0x0003,93,1,21,-48,,,,,,,
03:48:53.041,DATA,0x0004,0x0003,79,2,80,-51,,,,,,,
03:48:54.629,DATA,0x0003,0x0003,94,1,15,-48,,,,,,,
03:48:55.206,DATA,0x0004,0x0003,80,2,87,-51,,,,,,,
03:48:56.674,DATA,0x0003,0x0003,95,1,15,-48,,,,,,,
03:48:57.391,DATA,0x0004,0x0003,81,2,70,-53,,,,,,,
03:48:58.736,DATA,0x0003,0x0003,96,1,16,-47,,,,,,,
03:48:59.506,DATA,0x0004,0x0003,82,2,85,-52,,,,,,,
03:49:00.833,DATA,0x0003,0x0003,97,1,17,-48,,,,,,,
03:49:01.530,DATA,0x0004,0x0003,83,2,79,-53,,,,,,,
03:49:02.845,DATA,0x0003,0x0003,98,1,27,-52,,,,,,,
03:49:03.676,DATA,0x0004,0x0003,84,2,80,-53,,,,,,,
03:49:05.032,DATA,0x0003,0x0003,99,1,97,-47,,,,,,,
03:49:05.837,DATA,0x0004,0x0003,85,2,103,-51,,,,,,,
03:49:07.147,DATA,0x0003,0x0003,100,1,15,-48,,,,,,,
03:49:07.824,DATA,0x0004,0x0003,86,2,128,-51,,,,,,,
03:49:08.384,REPORT,0x0003,,100,,,,8,13,0,85,100,0,100.00
03:49:09.179,DATA,0x0003,0x0003,101,1,0,-52,,,,,,,
03:49:09.857,DATA,0x0004,0x0003,87,2,75,-52,,,,,,,
03:49:11.305,DATA,0x0003,0x0003,102,1,0,-52,,,,,,,
03:49:11.892,DATA,0x0004,0x0003,88,2,66,-49,,,,,,,
03:49:13.321,DATA,0x0003,0x0003,103,1,0,-47,,,,,,,
03:49:13.898,DATA,0x0004,0x0003,89,2,74,-52,,,,,,,
03:49:14.320,HEARTBEAT,0x0003,0x0003,,1,0,,,,,,,,
03:49:15.387,DATA,0x0003,0x0003,104,1,0,-47,,,,,,,
03:49:17.575,DATA,0x0003,0x0003,105,1,0,-48,,,,,,,
03:49:18.072,DATA,0x0004,0x0003,91,2,79,-53,,,,,,,
03:49:19.651,DATA,0x0003,0x0003,106,1,0,-52,,,,,,,
03:49:20.137,DATA,0x0004,0x0003,92,2,84,-51,,,,,,,
03:49:21.729,DATA,0x0003,0x0003,107,1,0,-52,,,,,,,
03:49:22.144,DATA,0x0004,0x0003,93,2,80,-53,,,,,,,
