Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),QLD(%),Pin(%)
2026-03-12 02:12:28,0006,1,0002,0008,-60,347,0,100.0
2026-03-12 02:12:28,0009,2,0007,0007,-48,265,0,100.0
2026-03-12 02:12:28,0009,2,0007,0006,-56,265,0,100.0
2026-03-12 02:12:28,0009,2,0007,0005,-58,265,0,100.0
2026-03-12 02:12:28,0009,2,0007,0008,-37,265,0,100.0
2026-03-12 02:12:28,0009,2,0007,000A,-55,265,0,100.0
2026-03-12 02:12:28,0008,2,0007,0007,-47,103,0,100.0
2026-03-12 02:12:28,0008,2,0007,0006,-52,103,0,100.0
2026-03-12 02:12:28,0008,2,0007,0003,-57,103,0,100.0
2026-03-12 02:12:28,0008,2,0007,0004,-60,103,0,100.0
2026-03-12 02:12:28,0008,2,0007,0009,-38,258,0,100.0
2026-03-12 02:12:28,0008,2,0007,000A,-50,258,0,100.0
2026-03-12 02:12:59,0003,1,0002,0002,-44,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,0005,-48,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,0006,-49,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,0004,-50,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,0007,-59,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,0008,-57,453,0,100.0
2026-03-12 02:12:59,0003,1,0002,000A,-59,453,0,100.0
2026-03-12 02:12:59,000A,2,0007,0007,-39,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0005,-44,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0006,-54,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0003,-54,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0004,-57,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0009,-51,263,0,100.0
2026-03-12 02:12:59,000A,2,0007,0008,-54,263,0,100.0
2026-03-12 02:12:59,0008,2,0006,0006,-56,291,0,100.0
2026-03-12 02:12:59,0008,2,0006,0003,-56,291,0,100.0
2026-03-12 02:12:59,0008,2,0006,0007,-57,291,0,100.0
2026-03-12 02:12:59,0008,2,0006,0009,-38,291,0,100.0
2026-03-12 02:12:59,0008,2,0006,000A,-53,291,0,100.0
